검색조건
대출기간,2026-01-01 ~ 2026-06-27
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-06-28
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"51","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","2","9791164137121","77400","400","9,910",
"52","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","14","9791173321610","77400","400","9,886",
"53","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","1","9791164136032","77400","400","9,837",
"54","순례 주택 :유은실 소설 ","지은이: 유은실","비룡소","2021","","9788949123493","44800","813.7","9,833",
"55","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","7","9791168413931","77400","400","9,797",
"56","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","6","9791168411852","77400","400","9,742",
"57","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","8","9791168414822","77400","400","9,647",
"58","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","5","9791168410848","77400","400","9,640",
"59","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","3","9791164137923","77400","400","9,615",
"60","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","4","9791164138982","77400","400","9,544",
"61","이처럼 사소한 것들 :클레어 키건 소설 ","지은이: 클레어 키건 ;옮긴이: 홍한별","다산북스","2023","","9791130646381","03840","843.6","9,529",
"62","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","4","9791168416314","74810","813.5","9,506",
"63","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","15","9791173322914","77400","400","9,459",
"64","대온실 수리 보고서 :김금희 장편소설 ","지은이: 김금희","창비","2024","","9788936439651","03810","813.7","9,443",
"65","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","3","9788936448011","74810","813.7","9,415",
"66","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","13","9791173320101","77400","400","9,398",
"67","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","11","9788934935193","77400","400","9,393",
"68","위버멘쉬 :누구의 시선도 아닌, 내 의지대로 살겠다는 선언 ","프리디리히 니체 지음 ;어나니머스 옮김","Rise(떠오름코퍼레이션)","2025","","9791192372730","03100","165.77","9,357",
"69","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","1","9791168412248","74810","813.5","9,352",
"70","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","10","9788934905851","77400","400","9,315",
"71","돈의 심리학 :당신은 왜 부자가 되지 못했는가 ","모건 하우절 지음 ;이지연 옮김","인플루엔셜","2021","","9791191056372","03320","327.04","9,245",
"72","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","3","9791168415034","74810","813.5","9,233",
"73","흔한남매 이무기 :이해하면 무서운 이야기","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2023","1","9791168415577","77810","810","9,230",
"74","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","2","9791168413955","74810","813.5","9,157",
"75","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","1","9791190409124","74810","813.7","9,087",
"76","할매 =황석영 장편소설 /Grandma ","지은이: 황석영","창비","2025","","9788936439880","03810","813.62","9,059",
"77","천 개의 파랑 :천선란 장편소설 ","지은이: 천선란","허블","2020","","9791190090261","03810","813.7","9,003",
"78","흔한남매 이무기 :이해하면 무서운 이야기","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2023","2","9791168418516","77810","810","8,998",
"79","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","5","9788936448370","73810","813.7","8,989",
"80","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","5","9791168415331","74810","813.5","8,969",
"81","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","15","9791173476259","77490","472","8,935",
"82","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","16","9791173479946","77490","472","8,932",
"83","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","7","9788936448752","73810","813.7","8,897",
"84","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","7","9791173473869","74810","813.5","8,856",
"85","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","03320","327.04","8,847",
"86","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","8","9788934979814","77400","400","8,846",
"87","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","9","9788934946625","77400","400","8,825",
"88","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","6","9791168418950","74810","813.5","8,800",
"89","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","2","9788934980254","77400","400","8,798",
"90","비스킷 ","글: 김선미","위즈덤하우스","2023","","9791168127630","43810","813.7","8,790",
"91","오늘 밤, 세계에서 이 사랑이 사라진다 해도 ","이치조 미사키 지음 ;권영주 옮김","바이포엠","2021","","9791191043297","03830","833.6","8,776",
"92","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","4","9788936448134","74810","813.7","8,747",
"93","아몬드 :손원평 장편소설 ","지은이: 손원평","창비","2017","","9788936434267","03810","813.7","8,696",
"94","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","1","9788934989257","77400","400","8,667",
"94","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","6","9788936448523","73810","813.7","8,667",
"94","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","12","9791194330592","77400","400","8,667",
"97","(돈도 마음도 낭비 없이 나만의 행복을 버는) 저소비 생활 ","가제노타미 지음 ;정지영 옮김","RHK(알에이치코리아)","2025","","9788925573229","03190","327.04","8,621",
"98","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","7","9791198948762","74810","813.7","8,604",
"99","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","14","9791173119262","77490","472","8,602",
"100","죽이고 싶은 아이 :이꽃님 장편소설 ","지은이: 이꽃님","우리학교","2021","","9791190337755","43810","813.7","8,586",
"101","다판다 편의점","강효미 글 ;밤코 그림","다산북스","2025","1","9791130662985","74810","813.7","8,560",
"102","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","03810","813.7","8,529",
"103","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","7","9788934944546","77400","400","8,511",
"104","너구리 라면 가게 ","글: 최설희 ;그림: 김덕영","다산북스","2025","","9791130664606","77810","813.7","8,497",
"105","다정한 사람이 이긴다 ","이해인 지음","필름","2025","","9791193262658","03810","818","8,487",
"106","달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ","지은이: 이미예","팩토리나인","2020","","9791165341909","03810","813.7","8,478",
"107","흔한남매 이무기 :이해하면 무서운 이야기","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2023","3","9791173477263","77810","810","8,440",
"108","편안함의 습격 :편리와 효율, 멸균과 풍족의 시대가 우리에게서 앗아간 것들에 관하여 ","지은이: 마이클 이스터 ;옮긴이: 김원진","수오서재","2025","","9791193238691","03300","517.3","8,375",
"109","렛뎀 이론 :인생이 '나'로 충만해지는 내버려두기의 기술 ","멜 로빈스,윤효원 옮김","비즈니스북스","2025","","9791162544327","03190","189.1","8,373",
"110","체리새우 :황영미 장편소설 ","지은이: 황영미","문학동네","2019","","9788954654753","03810","813.7","8,353",
"111","다판다 편의점","강효미 글 ;밤코 그림","다산북스","2025","2","9791130667546","74810","813.7","8,337",
"112","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","2","9791190409131","74810","813.7","8,290",
"113","마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ","강용수 지음","유노콘텐츠그룹","2023","","9791192300818","03160","165.47","8,275",
"114","(흔한남매) 별난 세계 여행","흔한남매 원작 ;정주연 그림","미래엔","2023","1","9791168415355","74810","980.2","8,269",
"115","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","3","9791168417786","77400","400","8,258",
"116","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ","제임스 클리어 지음 ;이한이 옮김","비즈니스북스","2019","","9791162540640","03190","181.845","8,228",
"117","엄마가 유령이 되었어! ","노부미 글·그림 ;이기웅 옮김","길벗어린이","2016","","9788955823509","77830","833.6","8,217",
"117","흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ","원작: 흔한남매 ;그림: 유난희","미래엔","2022","","9791168410930","77810","810","8,217",
"119","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","3","9791168415591","77030","388","8,198",
"120","종의 기원 =정유정 장편소설 /The origin of species ","지은이: 정유정","은행나무","2016","","9788956609959","03810","813.7","8,168",
"121","호의에 대하여 :문형배 에세이 ","지은이: 문형배","김영사","2025","","9791173323027","03810","818","8,150",
"122","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","2","9791168415188","77400","400","8,131",
"123","흔한남매 과학 탐험대 5 : 물리 1","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","5","9788934940753","","","8,106",
"124","죽이고 싶은 아이 :이꽃님 장편소설","지은이: 이꽃님","우리학교","2024","2","9791167552723","44810","813.7","8,095",
"125","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","4","9791168417656","77030","388","8,085",
