번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"45","리얼 일본 소도시:2025~2026년 최신판","정꽃나래;정꽃보라 [공]지음","한빛라이프","2023","9791194725183","","1","","981.302","1","1","2026-03-24",
"46","나는 너를 아는데:박영란 장편소설","박영란 지음","우리학교","2025","9791167553560","","4","","813.7","1","0","2026-03-24",
"47","할 수 있어요:김효은 그림책","김효은 지음","창비","2026","9788936429546","","7","","375.1","1","0","2026-03-24",
"48","아빠의 겨울 방학:김유진 그림책","김유진 지음","책읽는곰","2026","9791158365974","","7","","813.8","1","2","2026-03-24",
"49","조마조마 북","하워드 펄스타인 글;제임스 먼로 그림;장미란 옮김","토토북","2026","9788964965443","","7","","843","1","1","2026-03-24",
"50","곤충 찜질방","최이레 글·그림","노란돼지","2026","9791159955624","","7","","813.8","1","2","2026-03-24",
"51","(생각하는 청소년을 위한)화학의 역사:연금술에서 원자까지, 물질의 혁명","정완상 지음","성림원북스","2026","9791124072196","","0","","430","1","0","2026-03-24",
"52","(1등급을 이기는)생기부 독서법","김수미 지음","빅피시","2025","9791124137017","","0","","377.37","1","0","2026-03-24",
"53","최소한의 노벨 경제학상:1969-2025: 혁신을 이끈 41명의 경제학자들","김나영 지음","가나출판사","2026","9791168092280","","0","","320.1","1","1","2026-03-24",
"54","(요즘 10대를 위한)최소한의 전쟁사","김봉중 지음","빅피시","2025","9791194033813","","4","","392.19","1","0","2026-03-24",
"55","[큰글자] 시간을 파는 상점:김선영 장편소설","김선영 지음","자음과모음","2026","9788954473019","","4","1","813.7","1","1","2026-03-24",
"56","팝콘 인문학 수업:나만의 생각과 취향을 기르는 힘","이진희 지음","책이라는신화","2026","9791199580930","","0","","001.3","1","1","2026-03-24",
"57","더블 클릭:진짜 '나'를 선택하고 실행하는 법","알간지 지음","생각정원","2026","9791193811665","","0","","325.211","1","0","2026-03-24",
"58","세종의 나라:김진명 장편소설","김진명 지음","이타북스","2026","9791167764119","","0","1","813.7","1","2","2026-03-24",
"59","흔한남매 과학 탐험대","흔한남매 원작;김언정;송은경 [공]글;김덕영 그림","주니어김영사","2025","9791173324123","9788934935179","7","16","404","1","3","2026-03-24",
"60","도그 다이어리:멍멍이가 쓴 첫 어린이책","제임스 패터슨;스티븐 버틀러 [공]글;리처드 왓슨 그림;신수진 옮김","마술피리","2025","9791157823413","","7","4","843","1","1","2026-03-24",
